,Position Voltage,Set Point,Commanded Voltage,Filtered Position,Filtered Command Voltage,Time
0,2.5141875000000002,2.51625,0.041662499999992615,2.0329775812499995,0.00941780812499833,0.0
1,2.4961875,2.51625,0.3273000000000113,2.0702483172339377,0.087661340376947,0.014285714285714285
2,2.50275,2.51625,-0.4077000000000077,2.0615035326104376,0.021453327224101586,0.02857142857142857
3,2.5023750000000002,2.51625,0.45037499999999914,2.0651394387579853,0.019344767588289295,0.04285714285714286
4,2.5033125,2.51625,-0.4332374999999919,2.065045097967497,0.012618830787125754,0.05714285714285714
5,2.5033125,2.51625,0.46687499999999194,2.0654779880558967,0.013308162426474139,0.07142857142857142
6,2.503125,2.51625,-0.4294499999999918,2.06535170947532,0.014475942615699797,0.08571428571428572
7,2.5029375000000003,2.51625,0.467362499999983,2.065194280828412,0.015114042864138196,0.1
8,2.5016249999999998,2.51625,-0.40623749999997405,2.064531226661364,0.020649684896950026,0.11428571428571428
9,2.5035,2.51625,0.4063874999999729,2.064849113175442,0.009368700806090494,0.12857142857142856
10,2.5044375000000003,2.51625,-0.3921749999999825,2.066090162287607,0.007447903667895077,0.14285714285714285
11,2.5016249999999998,2.51625,0.4796999999999925,2.0651234705882415,0.023151888342592575,0.15714285714285714
12,2.5025625000000002,2.51625,-0.4606125000000019,2.064368479155293,0.014780656259708556,0.17142857142857143
13,2.503125,2.51625,0.48483750000000947,2.065119025283799,0.012157730815484255,0.18571428571428572
14,2.5016249999999998,2.51625,-0.42041250000000824,2.0646232116655363,0.020059234253794023,0.2
15,2.5036875,2.51625,0.4167750000000069,2.0649250614833914,0.008245620265598556,0.21428571428571427
16,2.5040625000000003,2.51625,-0.39168750000001606,2.0659981108543573,0.009398503244163085,0.22857142857142856
17,2.5036875,2.51625,0.4309500000000242,2.0658952161501754,0.01312392850904198,0.24285714285714285
18,2.5029375000000003,2.51625,-0.38313750000003255,2.0653964702233596,0.016740753127153084,0.2571428571428571
19,2.5036875,2.51625,0.40260000000004,2.0654442949702823,0.011967239279896878,0.2714285714285714
20,2.5003125,2.51625,-0.3017625000000461,2.0642529465552997,0.028204167227672404,0.2857142857142857
21,2.50275,2.51625,0.2939625000000526,2.0639433412048125,0.010986644816106922,0.3
22,2.5010624999999997,2.51625,-0.22477500000005107,2.064312104261871,0.020606402097345565,0.3142857142857143
23,2.4988125,2.51625,0.3097125000000442,2.062496599822329,0.028515348975113992,0.32857142857142857
24,2.500125,2.51625,-0.2908875000000458,2.0622468447930364,0.017145897330944786,0.34285714285714286
25,2.5014375,2.51625,0.30630000000004415,2.063457556302796,0.01123488424293987,0.35714285714285715
26,2.499375,2.51625,-0.22612500000004332,2.0630023861761253,0.023202344346442375,0.37142857142857144
27,2.5006875,2.51625,0.2434875000000417,2.0627069574395716,0.014413528898530646,0.38571428571428573
28,2.503875,2.51625,-0.26741250000003597,2.0647697361011192,0.0011074615562265706,0.4
29,2.4997499999999997,2.51625,0.3829125000000392,2.064148092505264,0.02660940853380073,0.4142857142857143
30,2.5074375,2.51625,-0.4953000000000447,2.06581830815967,-0.013376278200253956,0.42857142857142855
31,2.507625,2.51625,0.5144250000000441,2.0692184386805694,-0.0017236071918159375,0.44285714285714284
32,2.508,2.51625,-0.4995750000000449,2.0691467064149203,0.0025776772509034647,0.45714285714285713
33,2.50275,2.51625,0.6270750000000483,2.066949597321873,0.029986626889657954,0.4714285714285714
34,2.5063125,2.51625,-0.6639375000000513,2.0663973593628056,0.005222836493603687,0.4857142857142857
35,2.5025625000000002,2.51625,0.7655250000000446,2.0663655447107008,0.025324863726114526,0.5
36,2.5033125,2.51625,-0.7450875000000375,2.065012295417691,0.01606812814671031,0.5142857142857142
37,2.5014375,2.51625,0.8166000000000297,2.064633445992398,0.023429078294359376,0.5285714285714286
38,2.50125,2.51625,-0.774300000000031,2.063737317613789,0.020153146988356352,0.5428571428571428
39,2.5033125,2.51625,0.771637500000037,2.0646709348640138,0.008508472736822797,0.5571428571428572
40,2.5033125,2.51625,-0.7380000000000373,2.06551386655589,0.011450054518044352,0.5714285714285714
41,2.4980625,2.51625,0.877687500000032,2.063059512835956,0.03675241377015335,0.5857142857142857
42,2.503125,2.51625,-0.932662500000028,2.0632100920641605,0.0041870136568675845,0.6
43,2.5016249999999998,2.51625,0.9970875000000288,2.064806259271968,0.01645603170865545,0.6142857142857143
44,2.5023750000000002,2.51625,-0.9742125000000386,2.064314127798411,0.012609925164054035,0.6285714285714286
45,2.503875,2.51625,0.9799875000000449,2.0653785432854104,0.007005818470037889,0.6428571428571429
46,2.5020000000000002,2.51625,-0.9099375000000528,2.065106938984362,0.019001817768471197,0.6571428571428571
47,2.5021875000000002,2.51625,0.9432000000000514,2.06437006437079,0.01610885485632593,0.6714285714285714
48,2.503875,2.51625,-0.9407250000000451,2.065288410777485,0.007841562132077845,0.6857142857142857
49,2.5029375000000003,2.51625,0.9918375000000366,2.0655394255405466,0.015098797994614523,0.7
50,2.50125,2.51625,-0.9231375000000366,2.064328593234917,0.022355122127455454,0.7142857142857143
51,2.5081875,2.51625,0.8220000000000391,2.066818224944704,-0.01275638714167254,0.7285714285714285
52,2.5085625,2.51625,-0.8086125000000399,2.0698854754100524,-0.002740344214328932,0.7428571428571429
53,2.5021875000000002,2.51625,0.9573750000000355,2.0668787567629305,0.032388976821190546,0.7571428571428571
54,2.5081875,2.51625,-1.042012500000032,2.0669975335140025,-0.004490707958095908,0.7714285714285715
55,2.5063125,2.51625,1.1008500000000332,2.0688510565113423,0.011270169889003225,0.7857142857142857
